Name,Distance,Time,Date of Race,Location 1
Clemson Invitational,1 Mile,4:49.02,"January 11, 2025","Clemson, SC, United States"
2025 Jimmy Carnes Track and Field College Women 1 Mile Run College,1 Mile,4:45.16,"January 17, 2025","Gainesville, FL, United States"
http://www.gocards.com/ 2025,3000m,9:16.64,"January 31, 2025","Louisville, KY, United States"
2025 BU David Hemery Valentine Invitational (Boston University),3000m,9:12.29 (PB),"February 14, 2025","Boston, MA, United States"
ACC Indoor Championship,"1 Mile, 3000m","4:44.28 (PB) , 9:25.08","March 2, 2025","Louisville, KY, United States"
Cross country season—————,,,,
Loyola Lakefront Cross Country Invitational,6000m,21:14.94,"October 3, 2025",Loyola University Chicago-Medical
Pre-National Meet,6000m,21:11:50,"October 17, 2025","Columbia, MO, United States"
ACC Championship,6000m,20:37.70,"October 31, 2025","Louisville, KY, United States"
NCAA Northeast Regional (NCAA D1 Northeast Region Championships ),6000m,20:31.20,"November 14, 2025","Contoocook, NH, United States"
some docs,,,,
NCAA Championship,6000m,20:37.0,"November 22, 2025","Columbia, MO, United States"
Indoor Season————————,,,,
Sharon Colyear-Danville,3000m,9:26.06,"December 6, 2025",Boston University Track & Tennis Center
Suffolk ICE Breaker Challenge,3000m,,"January 18, 2026",The Track at New Balance
