Name,Date of Race,Distance,Location 1,Time
Clemson Invitational,"January 11, 2025",1 Mile,"Clemson, SC, United States",4:49.02
2025 Jimmy Carnes Track and Field College Women 1 Mile Run College,"January 17, 2025",1 Mile,"Gainesville, FL, United States",4:45.16
http://www.gocards.com/ 2025,"January 31, 2025",3000m,"Louisville, KY, United States",9:16.64
2025 BU David Hemery Valentine Invitational (Boston University),"February 14, 2025",3000m,"Boston, MA, United States",9:12.29 (PB)
ACC Indoor Championship,"March 2, 2025","1 Mile, 3000m","Louisville, KY, United States","4:44.28 (PB) , 9:25.08"
Loyola Lakefront Cross Country Invitational,"October 3, 2025",6000m,Loyola University Chicago-Medical,21:14.94
Pre-National Meet,"October 17, 2025",6000m,"Columbia, MO, United States",21:11:50
ACC Championship,"October 31, 2025",6000m,"Louisville, KY, United States",20:37.70
NCAA Northeast Regional (NCAA D1 Northeast Region Championships ),"November 14, 2025",6000m,"Contoocook, NH, United States",20:31.20
some docs,,,,
NCAA Championship,"November 22, 2025",6000m,"Columbia, MO, United States",20:37.0
Indoor Season————————,,,,
Sharon Colyear-Danville,"December 6, 2025",3000m,Boston University Track & Tennis Center,9:26.06
Cross country season—————,,,,
Suffolk ICE Breaker Challenge,"January 18, 2026",3000m,The Track at New Balance,
